station,lat,lon
基隆,25.12916,121.76005
汐止,25.06713,121.6423
萬里,25.17966,121.68988
新店,24.97722,121.53777
土城,24.98252,121.45186
板橋,25.01297,121.45866
新莊,25.03797,121.4325
菜寮,25.06894,121.48102
林口,25.07719,121.37686
淡水,25.1645,121.44352
士林,25.10333,121.51666
中山,25.06236,121.52652
萬華,25.0465,121.50797
古亭,25.02061,121.52955
松山,25.05,121.57861
大同,25.06319,121.5133
桃園,24.98677,121.30872
大園,25.06033,121.2018
觀音,25.0355,121.08275
平鎮,24.95277,121.20397
龍潭,24.86386,121.21636
湖口,24.90013,121.03866
竹東,24.74063,121.08891
新竹,24.80561,120.97208
頭份,24.69697,120.89858
苗栗,24.56527,120.82019
三義,24.38294,120.75883
豐原,24.25658,120.74172
沙鹿,24.22563,120.5688
大里,24.09961,120.67844
忠明,24.15194,120.64108
西屯,24.16219,120.61691
彰化,24.066,120.54152
線西,24.13166,120.46905
二林,23.92516,120.40966
南投,23.913,120.6853
斗六,23.71186,120.545
崙背,23.75755,120.34875
新港,23.55483,120.34552
朴子,23.46711,120.2478
臺西,23.70216,120.19933
嘉義,23.46477,120.44125
新營,23.30563,120.31725
善化,23.11338,120.29741
安南,23.04819,120.2175
臺南,22.98457,120.20261
美濃,22.88358,120.53055
橋頭,22.7575,120.30569
仁武,22.68905,120.33263
鳳山,22.62813,120.35741
大寮,22.56413,120.4253
林園,22.4795,120.41175
楠梓,22.73366,120.32827
左營,22.67486,120.29291
前金,22.63391,120.28675
前鎮,22.60538,120.30755
小港,22.56583,120.33772
屏東,22.67308,120.48802
潮州,22.52311,120.56116
恆春,21.95805,120.78891
臺東,22.75536,121.15044
花蓮,23.9713,121.59977
陽明,25.18272,121.52958
宜蘭,24.74791,121.74638
冬山,24.63219,121.79291
三重,25.07261,121.4938
中壢,24.95327,121.22166
竹山,23.75638,120.6773
永和,25.017,121.5163
復興,22.60872,120.31202
埔里,23.96883,120.96791
關山,23.04508,121.16194
麥寮,23.7535,120.25183
富貴角,25.2968,121.53655
大城,23.85494,120.26963
